title,author,rating,ratings,score,link,autors link
Після третього дзвінка вхід до зали забороняється,Oksana Zabuzhko, 4.40 ,47,93,https://www.goodreads.com/book/show/36610873,https://www.goodreads.com/author/show/135444.Oksana_Zabuzhko
Ели воду из-под крана,Fozzy, 3.93 ,41,92,https://www.goodreads.com/book/show/10077553--,https://www.goodreads.com/author/show/4251102.Fozzy
Дівчина з ведмедиком. Болотяна лукроза,В. Домонтович, 4.33 ,106,92,https://www.goodreads.com/book/show/17623084,https://www.goodreads.com/author/show/6895169._
Павлік Морозов,Лесь Подерв'янський, 3.91 ,43,92,https://www.goodreads.com/book/show/21964035,https://www.goodreads.com/author/show/7075617._
Владимир,Semen Skljarenko, 4.35 ,49,92,https://www.goodreads.com/book/show/18309619,https://www.goodreads.com/author/show/20184211.Semen_Skljarenko
De twaalf stoelen,Ilya Ilf, 4.41 ,21.778,92,https://www.goodreads.com/book/show/10705809-de-twaalf-stoelen,https://www.goodreads.com/author/show/4731222.Ilya_Ilf
Дівчатка,Oksana Zabuzhko, 3.90 ,21,92,https://www.goodreads.com/book/show/17932530,https://www.goodreads.com/author/show/135444.Oksana_Zabuzhko
Antenne,Serhiy Zhadan, 4.57 ,208,92,https://www.goodreads.com/book/show/60535647-antenne,https://www.goodreads.com/author/show/9805044.Serhiy_Zhadan
Winter Sport,Fozzy, 3.91 ,22,91,https://www.goodreads.com/book/show/11965801-winter-sport,https://www.goodreads.com/author/show/4251102.Fozzy
Биті є. Макар,Liuko Dashvar, 3.81 ,250,91,https://www.goodreads.com/book/show/13477793,https://www.goodreads.com/author/show/5315530.Liuko_Dashvar
Подорож із Мамайотою в пошуках України,Артем Чапай, 3.95 ,21,91,https://www.goodreads.com/book/show/15823070,https://www.goodreads.com/author/show/8703869._
Святослав,Semen Skljarenko, 4.34 ,58,91,https://www.goodreads.com/book/show/21471506,https://www.goodreads.com/author/show/20184211.Semen_Skljarenko
Confession sexuelle d'un anonyme russe,Anonymous, 3.45 ,66,91,https://www.goodreads.com/book/show/2310968.Confession_sexuelle_d_un_anonyme_russe,https://www.goodreads.com/author/show/5158478.Anonymous
Het gouden kalf,Ilya Ilf, 4.44 ,7.912,91,https://www.goodreads.com/book/show/17235516-het-gouden-kalf,https://www.goodreads.com/author/show/4731222.Ilya_Ilf
Вызывной канал,Антон Санченко, 4.75 ,4,90,https://www.goodreads.com/book/show/12922457,https://www.goodreads.com/author/show/6479659._
Роксолана,Pavlo Zahrebelnyi, 4.17 ,484,90,https://www.goodreads.com/book/show/9510706,https://www.goodreads.com/author/show/847841.Pavlo_Zahrebelnyi
De geschiedenis van een paard,Isaac Babel, 3.48 ,25,90,https://www.goodreads.com/book/show/17840449-de-geschiedenis-van-een-paard,https://www.goodreads.com/author/show/34055.Isaac_Babel
