title,author,rating,ratings,score,cuntry ,published,image sm,image,link,AuthorLink,genre
Слон Ґудзик та Вогняна Квітка,Леся Воронина, 3.50,4.00,52,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459001920i/29623490._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459001920i/29623490._SX150_.jpg,https://goodreads.com/book/show/29623490,https://www.goodreads.com/author/show/7340393._,ua
Безталанна,Іван Карпенко-Карий, 4.00,47.00,52,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412703148i/23282914._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412703148i/23282914._SY175_.jpg,https://goodreads.com/book/show/23282914,https://www.goodreads.com/author/show/6549443._,ua
Червона зона,Артем Чапай, 4.26,23.00,52,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655312110i/23303192._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655312110i/23303192._SY175_.jpg,https://goodreads.com/book/show/23303192,https://www.goodreads.com/author/show/8703869._,ua
Балади про війну і відбудову,Serhiy Zhadan, 3.25,8.00,51,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453679861i/28690929._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453679861i/28690929._SY175_.jpg,https://goodreads.com/book/show/28690929,https://www.goodreads.com/author/show/9805044.Serhiy_Zhadan,ua
Nature,Olha Kobylianska, 3.71,17.00,51,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436207603i/25861022._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436207603i/25861022._SY175_.jpg,https://goodreads.com/book/show/25861022-nature,https://www.goodreads.com/author/show/4854979.Olha_Kobylianska,ua
Оповідання. Повість. Романи,Valerian Pidmohylny, 4.89,9.00,51,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1477875909i/32813981._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1477875909i/32813981._SY175_.jpg,https://goodreads.com/book/show/32813981,https://www.goodreads.com/author/show/6877491.Valerian_Pidmohylny,ua
Марадона,Serhiy Zhadan, 4.11,44.00,50,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424363873i/24972364._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424363873i/24972364._SX150_.jpg,https://goodreads.com/book/show/24972364,https://www.goodreads.com/author/show/9805044.Serhiy_Zhadan,ua
Синя книжечка,Василь Стефаник, 4.21,29.00,50,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502462373i/22591587._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502462373i/22591587._SX150_.jpg,https://goodreads.com/book/show/22591587,https://www.goodreads.com/author/show/2868377._,ua
Неболови. Навчи мене мріяти,Юлія Ілюха, 4.34,58.00,50,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474812509i/32198974._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474812509i/32198974._SY175_.jpg,https://goodreads.com/book/show/32198974,https://www.goodreads.com/author/show/15798976._,ua
Адам,Остап Сливинський, 4.44,16.00,49,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382875838i/18720132._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382875838i/18720132._SX150_.jpg,https://goodreads.com/book/show/18720132,https://www.goodreads.com/author/show/7363488._,ua
Маклена Граса,Микола Куліш, 4.20,25.00,49,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465310103i/30367497._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465310103i/30367497._SY175_.jpg,https://goodreads.com/book/show/30367497,https://www.goodreads.com/author/show/6549419._,ua
Предок,Natalena Koroleva, 3.75,4.00,48,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432551224i/25597888._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432551224i/25597888._SY175_.jpg,https://goodreads.com/book/show/25597888,https://www.goodreads.com/author/show/8412406.Natalena_Koroleva,ua
Полуднева лінія,Остап Сливинський, 5.00,2.00,48,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382875523i/18720126._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382875523i/18720126._SX150_.jpg,https://goodreads.com/book/show/18720126,https://www.goodreads.com/author/show/7363488._,ua
Sonata Pathetique,Mykola Kulish, 3.79,63.00,48,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354686423i/5655220._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354686423i/5655220._SX150_.jpg,https://goodreads.com/book/show/5655220-sonata-pathetique,https://www.goodreads.com/author/show/2526235.Mykola_Kulish,ua
Привид з Валової,Andriy Kokotukha, 3.90,79.00,47,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428128331i/25286644._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428128331i/25286644._SY175_.jpg,https://goodreads.com/book/show/25286644,https://www.goodreads.com/author/show/16127899.Andriy_Kokotukha,ua
Честь. Вбивство: вибране,Михайло Могилянський, 3.89,9.00,47,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1487498207i/34338266._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1487498207i/34338266._SY175_.jpg,https://goodreads.com/book/show/34338266,https://www.goodreads.com/author/show/16358073._,ua
Таємне джерело,Andriy Kokotukha, 3.82,44.00,46,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381364934i/18658033._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381364934i/18658033._SY175_.jpg,https://goodreads.com/book/show/18658033,https://www.goodreads.com/author/show/16127899.Andriy_Kokotukha,ua
Шпигачки,Микола Лукаш, 4.00,3.00,46,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429870078i/25417548._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429870078i/25417548._SY175_.jpg,https://goodreads.com/book/show/25417548,https://www.goodreads.com/author/show/7726715._,ua
Синя Волошка: збірка оповідань,Борис Антоненко-Давидович, 5.00,1.00,46,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491738737i/34367044._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491738737i/34367044._SX150_.jpg,https://goodreads.com/book/show/34367044,https://www.goodreads.com/author/show/7279425._,ua
У пошуках Оґопоґо,Леся Воронина, 3.14,7.00,45,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388874925i/20438290._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388874925i/20438290._SY175_.jpg,https://goodreads.com/book/show/20438290,https://www.goodreads.com/author/show/7340393._,ua
Український декамерон,R.V. Pikhmanets, 4.60,5.00,45,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485554535i/15686851._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485554535i/15686851._SY175_.jpg,https://goodreads.com/book/show/15686851,https://www.goodreads.com/author/show/6412873.R_V_Pikhmanets,ua
Казка про Майдан,Христина Лукащук, 3.75,8.00,44,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410640181i/23208284._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410640181i/23208284._SX150_.jpg,https://goodreads.com/book/show/23208284,https://www.goodreads.com/author/show/4693203._,ua
Непропаща сила,Іван Пулюй, 5.00,3.00,44,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429050369i/25360894._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429050369i/25360894._SX150_.jpg,https://goodreads.com/book/show/25360894,https://www.goodreads.com/author/show/13543833._,ua
Cкіфський степ,Борис Мозолевський, 5.00,1.00,44,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1487496656i/34338169._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1487496656i/34338169._SX150_.jpg,https://goodreads.com/book/show/34338169-c,https://www.goodreads.com/author/show/16469899._,ua
Таке цікаве життя,Ірина Цілик, 4.17,12.00,43,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445713588i/27268280._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445713588i/27268280._SX150_.jpg,https://goodreads.com/book/show/27268280,https://www.goodreads.com/author/show/14002629._,ua
Місто уповільненої дії,Анатолій Дністровий, 3.80,35.00,43,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360321075i/17340894._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360321075i/17340894._SY175_.jpg,https://goodreads.com/book/show/17340894,https://www.goodreads.com/author/show/4665365._,ua
Нова стара баба,Лариса Денисенко, 3.87,15.00,42,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/nophoto/book/111x148._SX50_.png,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/nophoto/book/111x148._SX150_.jpg,https://goodreads.com/book/show/24966390,https://www.goodreads.com/author/show/4414450._,ua
"Повесть о том, как поссорился Иван Иванович с Иваном Никофоровичем",Nikolai Gogol, 3.90,1.55,42,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/nophoto/book/111x148._SX50_.png,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/nophoto/book/111x148._SX150_.jpg,https://goodreads.com/book/show/13557345,https://www.goodreads.com/author/show/232932.Nikolai_Gogol,ua
Місто з химерами,Олесь Ільченко, 3.88,73.00,41,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381482098i/18660929._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381482098i/18660929._SX150_.jpg,https://goodreads.com/book/show/18660929,https://www.goodreads.com/author/show/7338200._,ua
Мария,Taras Shevchenko, 4.78,9.00,41,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/nophoto/book/111x148._SX50_.png,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/nophoto/book/111x148._SX150_.jpg,https://goodreads.com/book/show/25107517,https://www.goodreads.com/author/show/135390.Taras_Shevchenko,ua
Сватання на Гончарівці,Григорій Квітка-Основ'яненко, 3.87,67.00,40,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348939727i/16053423._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348939727i/16053423._SY175_.jpg,https://goodreads.com/book/show/16053423,https://www.goodreads.com/author/show/6541752._,ua
Небратні,Max Kidruk, 4.23,193.00,39,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427879521i/25261505._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427879521i/25261505._SY175_.jpg,https://goodreads.com/book/show/25261505,https://www.goodreads.com/author/show/5048862.Max_Kidruk,ua
Що таке українська література,Леонід Ушкалов, 3.92,99.00,38,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451982283i/28453744._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451982283i/28453744._SY175_.jpg,https://goodreads.com/book/show/28453744,https://www.goodreads.com/author/show/8330747._,ua
