title,author,rating,ratings,score,link,author link
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt, 4.13,591.306,372,https://www.goodreads.com/book/show/252577.Angela_s_Ashes,https://www.goodreads.com/author/show/3347.Frank_McCourt
Yes Please,Amy Poehler, 3.84,484.636,371,https://www.goodreads.com/book/show/20910157-yes-please,https://www.goodreads.com/author/show/7350402.Amy_Poehler
Is Everyone Hanging Out Without Me?,Mindy Kaling (Goodreads Author), 3.86,465.44,360,https://www.goodreads.com/book/show/10335308-is-everyone-hanging-out-without-me,https://www.goodreads.com/author/show/194416.Mindy_Kaling
When Breath Becomes Air,Paul Kalanithi, 4.38,535.851,359,https://www.goodreads.com/book/show/25899336-when-breath-becomes-air,https://www.goodreads.com/author/show/14031444.Paul_Kalanithi
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer (Goodreads Author), 4.12,407.656,351,https://www.goodreads.com/book/show/60748.A_Child_Called_It_,https://www.goodreads.com/author/show/1881.Dave_Pelzer
Man's Search for Meaning,Viktor E. Frankl, 4.36,557.646,349,https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning,https://www.goodreads.com/author/show/2782.Viktor_E_Frankl
On Writing: A Memoir of the Craft,Stephen King (Goodreads Author), 4.33,257.437,345,https://www.goodreads.com/book/show/10569.On_Writing,https://www.goodreads.com/author/show/3389.Stephen_King
Me Talk Pretty One Day,David Sedaris,4.00,665.857,339,https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day,https://www.goodreads.com/author/show/2849.David_Sedaris
"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi, 4.25,185.167,331,https://www.goodreads.com/book/show/9516.Persepolis,https://www.goodreads.com/author/show/6238.Marjane_Satrapi
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom, 4.43,294.227,328,https://www.goodreads.com/book/show/561909.The_Hiding_Place,https://www.goodreads.com/author/show/102203.Corrie_ten_Boom
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman, 4.26,183.574,317,https://www.goodreads.com/book/show/35167685-surely-you-re-joking-mr-feynman,https://www.goodreads.com/author/show/1429989.Richard_P_Feynman
Why Not Me?,Mindy Kaling (Goodreads Author), 3.91,201.547,297,https://www.goodreads.com/book/show/30268522-why-not-me,https://www.goodreads.com/author/show/194416.Mindy_Kaling
